station,long,lat,comid,station
USGS-01651000,-76.96513889,38.95255556,22337977,USGS-01651000
USGS-01654000,-77.2283158,38.81289066,22340331,USGS-01654000
USGS-01661500,-76.5036667,38.24175,4531853,USGS-01661500
USGS-01668000,-77.52915268,38.30846178,8476948,USGS-01668000
USGS-01668500,-76.8269072,38.03985476,8475208,USGS-01668500
USGS-01669000,-76.900521,37.8770819,8479268,USGS-01669000
USGS-01670400,-77.7011007,38.01291599,8501768,USGS-01670400
USGS-01671020,-77.42775949,37.85014024,8505740,USGS-01671020
USGS-01671100,-77.5130392,37.8726401,8507516,USGS-01671100
USGS-01672500,-77.5488744,37.796809,8507536,USGS-01672500
USGS-01673000,-77.3322018,37.76764189,8506380,USGS-01673000
USGS-01673550,-77.2577548,37.6626434,8506844,USGS-01673550
USGS-01673800,-77.5947095,38.1715215,8489364,USGS-01673800
USGS-01674000,-77.3858142,38.061801,8489912,USGS-01674000
USGS-01674500,-77.16527778,37.88388889,8494082,USGS-01674500
USGS-02037500,-77.5469314,37.5632022,8574021,USGS-02037500
USGS-04224775,-77.7041667,42.53555556,15547935,USGS-04224775
USGS-04228500,-77.7574167,42.9227222,15539133,USGS-04228500
USGS-04229500,-77.58888889,42.9572222,15540125,USGS-04229500
USGS-04230500,-77.79138889,43.01,15537859,USGS-04230500
USGS-04231600,-77.6163056,43.1417222,15537883,USGS-04231600
USGS-04232000,-77.6275019,43.1806176,15537879,USGS-04232000
USGS-04232050,-77.527,43.12802778,21633883,USGS-04232050
USGS-04232100,-76.6472222,43.32527778,21631697,USGS-04232100
USGS-04232482,-76.95388889,42.6803333,21978203,USGS-04232482
USGS-04233000,-76.545,42.39305556,21983513,USGS-04233000
USGS-04234000,-76.47277778,42.4533333,21983115,USGS-04234000
USGS-04235000,-77.23277778,42.9182222,21982175,USGS-04235000
USGS-04235250,-77.0680556,42.95777778,21981203,USGS-04235250
USGS-04235500,-76.5986111,42.94666667,21977249,USGS-04235500
USGS-04237496,-76.3626944,43.1623333,21975021,USGS-04237496
USGS-04237500,-76.3316667,43.15694444,21975021,USGS-04237500
USGS-04239000,-76.1508333,42.9833333,21979277,USGS-04239000
USGS-04240010,-76.162,43.05744444,21991043,USGS-04240010
USGS-04240100,-76.1816667,43.0358333,21974523,USGS-04240100
USGS-04240105,-76.185,43.0561111,904140174,USGS-04240105
USGS-04240120,-76.17027778,43.0772222,21974929,USGS-04240120
USGS-04240180,-76.3294444,42.9208333,21977363,USGS-04240180
USGS-04240300,-76.22638889,43.0808333,21974253,USGS-04240300
USGS-04242500,-75.6214722,43.3011111,22023328,USGS-04242500
USGS-04243500,-75.6394167,43.09755556,22024054,USGS-04243500
USGS-04245200,-76.0618611,42.93427778,22027232,USGS-04245200
USGS-04245236,-76.10027778,43.04166667,22025782,USGS-04245236
USGS-04246500,-76.1697222,43.24694444,22026110,USGS-04246500
USGS-04249000,-76.50527778,43.45166667,21972746,USGS-04249000
USGS-04250750,-76.0744444,43.81369444,21623171,USGS-04250750
USGS-04256000,-75.3334444,43.74680556,15514388,USGS-04256000
USGS-04258000,-75.40427778,43.89716667,15514760,USGS-04258000
USGS-04260500,-75.9246111,43.9858333,15514728,USGS-04260500
USGS-01315000,-74.2670556,43.7565,22306657,USGS-01315000
USGS-01321000,-74.27027778,43.35277778,22297114,USGS-01321000
USGS-01336000,-75.43638889,43.26444444,22743619,USGS-01336000
USGS-01346000,-74.9883333,43.06888889,22741581,USGS-01346000
USGS-01347000,-74.7794444,43.0147222,22741627,USGS-01347000
USGS-01350000,-74.4366667,42.31944444,3247466,USGS-01350000
USGS-01350080,-74.4130556,42.37694444,3247464,USGS-01350080
USGS-01350120,-74.4472222,42.4061111,3247452,USGS-01350120
USGS-01350140,-74.4730556,42.42888889,3247552,USGS-01350140
USGS-01350355,-74.41025,42.53763889,3246744,USGS-01350355
USGS-01351500,-74.26277778,42.80002778,3247040,USGS-01351500
USGS-01362200,-74.38027778,42.11694444,6189624,USGS-01362200
USGS-01362500,-74.2701944,42.0144722,6189754,USGS-01362500
USGS-01365000,-74.4872222,41.86638889,6200212,USGS-01365000
USGS-01367500,-74.0861111,41.8430833,6206824,USGS-01367500
USGS-01371500,-74.16527778,41.68613889,6200432,USGS-01371500
USGS-01377500,-74.0211111,40.99277778,6249408,USGS-01377500
USGS-01379000,-74.52888889,40.68,6250860,USGS-01379000
USGS-01379500,-74.3897222,40.7261111,6250836,USGS-01379500
USGS-01379773,-74.5397222,40.96,6249510,USGS-01379773
USGS-01379790,-74.5836111,40.91777778,6250644,USGS-01379790
USGS-01380450,-74.4191667,40.9075,6250646,USGS-01380450
USGS-01381000,-74.3947222,40.89694444,6249860,USGS-01381000
USGS-01381500,-74.4569444,40.8072222,6250748,USGS-01381500
USGS-01381900,-74.3216667,40.8625,6250690,USGS-01381900
USGS-01383500,-74.3336111,41.16027778,6246368,USGS-01383500
USGS-01384500,-74.2658333,41.1272222,6246312,USGS-01384500
USGS-01387000,-74.2930556,41.04416667,932030153,USGS-01387000
USGS-01387400,-74.1686111,41.14027778,6245458,USGS-01387400
USGS-01387420,-74.16027778,41.1183333,6245602,USGS-01387420
USGS-01387500,-74.16277778,41.09805556,6246322,USGS-01387500
USGS-01388000,-74.28,40.99194444,6250614,USGS-01388000
USGS-01388500,-74.2819444,40.9697222,6249470,USGS-01388500
USGS-01389500,-74.2261111,40.8847222,6250676,USGS-01389500
USGS-01390500,-74.0905556,40.985,6250616,USGS-01390500
USGS-01391500,-74.0805556,40.89027778,6250666,USGS-01391500
USGS-01393450,-74.2219444,40.675,6261532,USGS-01393450
USGS-01394500,-74.3116667,40.6875,6261526,USGS-01394500
USGS-01395000,-74.2833333,40.61888889,6261548,USGS-01395000
USGS-01396500,-74.8791667,40.67777778,9513810,USGS-01396500
USGS-01396660,-74.96888889,40.6475,9512952,USGS-01396660
USGS-01396800,-74.9155556,40.64,9513994,USGS-01396800
USGS-01397000,-74.8680556,40.5722222,9513836,USGS-01397000
USGS-01398500,-74.6361111,40.7083333,9513796,USGS-01398500
USGS-01399500,-74.73027778,40.7275,9513794,USGS-01399500
USGS-01399670,-74.7736111,40.61944444,9513068,USGS-01399670
USGS-01400000,-74.6791667,40.57055556,9513840,USGS-01400000
USGS-01400500,-74.58277778,40.55555556,9513852,USGS-01400500
USGS-01401000,-74.6819444,40.33305556,9515592,USGS-01401000
USGS-01402000,-74.5758333,40.475,9514706,USGS-01402000
USGS-01403150,-74.5908333,40.6122222,9513122,USGS-01403150
USGS-01403400,-74.40388889,40.6661111,9512912,USGS-01403400
USGS-01403540,-74.45138889,40.63638889,9513054,USGS-01403540
USGS-01407705,-74.07,40.1986111,6262928,USGS-01407705
USGS-01407760,-74.0658333,40.2033333,6262926,USGS-01407760
USGS-01408000,-74.1547222,40.16138889,9442083,USGS-01408000
USGS-01408120,-74.1525,40.09166667,9442143,USGS-01408120
USGS-01408500,-74.2233333,39.98638889,9453743,USGS-01408500
USGS-01409400,-74.665,39.67444444,9447943,USGS-01409400
USGS-01409500,-74.65027778,39.64166667,9454589,USGS-01409500
USGS-01410000,-74.5234444,39.66394444,9455279,USGS-01410000
USGS-01410150,-74.44138889,39.62305556,9454631,USGS-01410150
USGS-01411000,-74.8516667,39.5947222,9434145,USGS-01411000
USGS-01411300,-74.8205556,39.30694444,9436435,USGS-01411300
USGS-01411456,-75.0675,39.65888889,9481686,USGS-01411456
USGS-01411500,-75.0769444,39.49555556,9485398,USGS-01411500
USGS-01413500,-74.6536111,42.1447222,1748583,USGS-01413500
USGS-01414500,-74.7305556,42.1061111,1748611,USGS-01414500
USGS-01415000,-74.8186111,42.12,1748589,USGS-01415000
USGS-01417000,-74.97627778,42.07502778,1748727,USGS-01417000
USGS-01417500,-75.11927778,42.0245833,1749281,USGS-01417500
USGS-01420980,-75.17072468,41.9761983,1752137,USGS-01420980
USGS-01421000,-75.1751944,41.97355556,1752137,USGS-01421000
USGS-01423000,-75.14002778,42.1661111,2613578,USGS-01423000
USGS-01425000,-75.3958056,42.07491667,2614238,USGS-01425000
USGS-01426500,-75.38352778,42.00302778,2614210,USGS-01426500
USGS-01427510,-75.0574167,41.75675,2617456,USGS-01427510
USGS-01428500,-74.9860556,41.50875,2615318,USGS-01428500
USGS-01428750,-75.37601299,41.67452998,2739748,USGS-01428750
USGS-01429000,-75.3268449,41.58730898,2739772,USGS-01429000
USGS-01429500,-75.26712048,41.6073104,2739766,USGS-01429500
USGS-01430000,-75.2479534,41.56203315,2739776,USGS-01430000
USGS-01431500,-75.1721186,41.4762002,2743198,USGS-01431500
USGS-01434000,-74.6973853,41.3706493,4151524,USGS-01434000
USGS-01434025,-74.5002222,41.9960833,4147946,USGS-01434025
USGS-01435000,-74.5898056,41.88994444,4147956,USGS-01435000
USGS-01436000,-74.6355556,41.82,4147432,USGS-01436000
USGS-01437500,-74.60188889,41.4413611,4151216,USGS-01437500
USGS-01438500,-74.79527778,41.30916667,4151628,USGS-01438500
USGS-01439500,-75.03767469,41.08815078,4153168,USGS-01439500
USGS-01440000,-74.9525,41.1061111,4151302,USGS-01440000
USGS-01440400,-75.2146251,41.0848148,4153166,USGS-01440400
USGS-01442500,-75.1426788,40.998706,4154488,USGS-01442500
USGS-01443500,-74.9533333,40.9808333,2586771,USGS-01443500
USGS-01443900,-75.0391667,40.98055556,2587723,USGS-01443900
USGS-01445500,-74.97777778,40.83055556,2586809,USGS-01445500
USGS-01446500,-75.0825,40.82638889,2588381,USGS-01446500
USGS-01447500,-75.625467,41.1303626,4185679,USGS-01447500
USGS-01447680,-75.52138889,41.06527778,4185837,USGS-01447680
USGS-01447720,-75.6054666,41.0848082,4185779,USGS-01447720
USGS-01447800,-75.7321362,41.1048062,4186403,USGS-01447800
