,long,lat,comid,station
259,-76.50125,41.98494444,8103737,USGS-01515000
260,-77.0802457,41.7970183,8112301,USGS-01516350
261,-77.1294154,41.90840709,8112611,USGS-01518000
262,-77.1152486,41.95257385,8111755,USGS-01518700
263,-77.5319298,41.92312576,8111873,USGS-01518862
264,-77.1399724,41.99674048,8111577,USGS-01520000
265,-77.1322222,42.0286111,8110981,USGS-01520500
266,-77.71138889,42.3958333,8110879,USGS-01521500
267,-77.6826667,42.3348611,8110889,USGS-01523500
268,-77.6510833,42.3134722,8110525,USGS-01524500
269,-77.41838889,42.2222222,8110911,USGS-01525500
270,-77.29888889,42.0722222,8110765,USGS-01525981
271,-77.1291667,42.1211111,8110941,USGS-01526500
272,-77.4263611,42.41105556,8118867,USGS-01527500
273,-77.2166667,42.2525,8119183,USGS-01529500
274,-77.0575,42.14641667,8119227,USGS-01529950
275,-76.8011111,42.08638889,8118423,USGS-01530332
276,-76.6347222,42.0022222,8118503,USGS-01531000
277,-76.4407743,41.76535278,4199356,USGS-01531500
278,-76.4849432,41.70757505,4199144,USGS-01532000
279,-76.0502031,41.60729826,4199592,USGS-01533400
280,-75.89464168,41.55841008,4196160,USGS-01534000
281,-75.47184988,41.67980547,2598631,USGS-01534300
282,-75.54213,41.5045259,2598765,USGS-01534500
283,-75.6421337,41.44119115,2600169,USGS-01534860
284,-75.744359,41.35924619,2600273,USGS-01536000
285,-75.8807518,41.2509149,2601199,USGS-01536500
286,-76.09381749,41.0595282,2603031,USGS-01538000
287,-76.4313333,41.07814118,2603023,USGS-01539000
288,-76.6191222,40.95814218,2604975,USGS-01540500
289,-77.7499869,41.32367797,8135528,USGS-01545500
290,-77.6908191,41.38951168,8134878,USGS-01545600
291,-77.794168,40.88978334,8140160,USGS-01546500
292,-77.7855575,40.9317273,8140404,USGS-01547100
293,-77.78639109,40.943116,8140016,USGS-01547200
294,-77.6044379,41.05173127,8139444,USGS-01547500
295,-77.6058264,41.05950916,8139414,USGS-01547700
296,-77.7022159,41.1117307,8139224,USGS-01547950
297,-77.4474798,41.52173586,8144622,USGS-01548500
298,-77.230809,41.47368336,8144818,USGS-01549500
